day	hour	value
2013	1	3647
2013	2	2781
2013	3	3003
2013	4	3066
2013	5	3109
2013	6	3309
2013	7	4066
2013	8	4581
2013	9	7030
2013	10	8019
2013	11	7492
2013	12	6231
2014	1	7374
2014	2	6854
2014	3	7174
2014	4	7204
2014	5	8577
2014	6	10483
2014	7	13667
2014	8	14734
2014	9	19403
2014	10	19320
2014	11	17539
2014	12	16247
2015	1	12444
2015	2	9403
2015	3	11059
2015	4	12131
2015	5	13931
2015	6	21880
2015	7	32516
2015	8	50109
2015	9	64487
2015	10	62955
2015	11	55611
2015	12	35834
2016	1	36580
2016	2	41599
2016	3	35421
2016	4	35035
2016	5	30843
2016	6	30523
2016	7	27558
2016	8	31058
2016	9	26985
2016	10	10762
2016	11	8264
2016	12	6485
2017	1	4914
2017	2	5481
2017	3	5946
2017	4	0
2017	5	0
2017	6	0
2017	7	0
2017	8	0
2017	9	0
2017	10	0
2017	11	0
2017	12	0